                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5727,                 3.6847,                 1.5948,                0.00931,                 0.4279,                0.06247,                0.02926,                 1.7266,                 3.6729,                 1.6893,                 0.0991,                 0.0001,                 0.0001
                      1,                 1.5335,                 3.6541,                 1.5289,                0.01029,                0.43716,                0.05163,                0.02536,                 1.6897,                 3.6684,                 1.6722,               0.097297,             0.00029703,             0.00029703
                      2,                 1.5211,                 3.6742,                 1.5597,                0.01041,                0.44215,                0.04359,                0.02106,                 1.6095,                 3.6508,                  1.624,                0.09549,              0.0004901,              0.0004901
                      3,                 1.4607,                 3.6663,                 1.5038,                0.01143,                0.44606,                0.03303,                0.01403,                 1.4086,                 3.6039,                 1.4892,               0.093679,             0.00067921,             0.00067921
                      4,                 1.3872,                 3.5738,                 1.4815,                0.01462,                0.49842,                0.02927,                0.01169,                   1.31,                 3.5603,                    1.4,               0.091864,             0.00086436,             0.00086436
                      5,                 1.1684,                 3.4515,                 1.2969,                0.01522,                0.52967,                0.04009,                0.01734,                 1.1858,                 3.4924,                 1.3088,               0.090046,              0.0010455,              0.0010455
                      6,                  1.157,                 3.4196,                 1.2463,                0.01718,                0.56278,                0.04129,                0.02054,                 1.1376,                 3.4132,                 1.2406,               0.088223,              0.0012228,              0.0012228
                      7,                 1.0906,                 3.3088,                 1.2048,                0.01893,                 0.6179,                0.06931,                0.03346,                 1.1183,                 3.3395,                 1.2072,               0.086396,               0.001396,               0.001396
                      8,                 1.0465,                 3.2304,                 1.1719,                0.02007,                0.62715,                0.08635,                0.04088,                 1.0616,                 3.2991,                 1.1701,               0.084565,              0.0015654,              0.0015654
                      9,                 1.0159,                  3.101,                 1.1696,                0.01978,                0.64879,                0.10322,                0.04643,                 1.0444,                 3.2715,                 1.1632,               0.082731,              0.0017307,              0.0017307
                     10,                0.92181,                 2.9521,                 1.1332,                0.02182,                0.66303,                0.12656,                  0.064,                0.98941,                  3.223,                 1.1337,               0.080892,              0.0018921,              0.0018921
                     11,                0.98051,                 2.9404,                 1.1493,                0.02313,                0.68654,                0.19727,                0.09377,                 1.0083,                 3.1812,                 1.1314,                0.07905,              0.0020495,              0.0020495
                     12,                0.99538,                 2.8207,                 1.1278,                0.02919,                0.72208,                0.23319,                0.14779,                0.96053,                 3.1037,                 1.1013,               0.077203,               0.002203,               0.002203
                     13,                0.93083,                  2.705,                 1.1426,                0.03148,                0.73134,                0.31014,                0.22001,                0.90629,                 3.0341,                 1.0718,               0.075353,              0.0023525,              0.0023525
